,Kasturi Foundry Pvt. Ltd.(UNIT 1),,
,,,
,"T-6 Kagal-Hatkanangale Five Star MIDC , Kagal 416236.",,
,Tool Cost Report From :- 01/01/2024 To :-27/01/2024,,
,,,
,,,
,Component Name,Operation Name,Tool Discription
KFPLU1|PM|HMC|70,HOUSING FRONT 4656.401.158,1st OPERATION,
,,,2NU CCGW 060204 BN500
,,,2NU CCGW 09T304 BN 500
,,,3NU TCGW 110304 BN7000
,,,3NU TCMW 110208SB(1816)BN 700
,,,3QP-TPGW 110308 BX480
,,,3QP-TPMW110204 BX930
,,,ADAPTOR BT 50 ER 16200
,,,ADAPTOR BT 50 ER 32100 
,,,ADAPTOR BT 50 ERM 25200
,,,ADAPTOR BT 50 FMH 22100
,,,ADAPTOR BT 50 FMH 32100
,,,ADAPTOR BT 50 FMH 40060 WITH PCD HOLE
,,,ADAPTOR BT 50 SLA 25105
,,,ADAPTOR BT 50 SLA 32105
,,,ADAPTOR BT 50 SLA 32160
,,,ADAPTOR BT50 ERM 16160
,,,ADAPTOR BT50 ERM 25160 
,,,ADAPTOR BT50 ERM25120
,,,ADJUSTABLE REAMER DIA 10-H8-ZFWG
,,,ADJUSTABLE REAMER DIA 12-D9-ZFWG
,,,BACK ROUGH BORING BAR OF DIA 98.0 WITH BT-50 GPL 280 WG HSG
,,,BACK SEMI FINISH BORING BAR OF DIA 99.50 WITH BT-50 GPL 280 WG HSG
,,,BORING BAR DIA 64 (ENDMILL CUTTER DIA 32) ZF WG HSG
,,,BORING BAR DIA 84 (ENDMILL CUTTER DIA 32) X 205 GPL ZF WG HSG
,,,BRAZED CARBIDE CUTTER DIA 17 X 17.5 X 19.1 X 23.3 X 23.8 X 38.2 X SH25 X FL-90 X 140
,,,BRAZED CARBIDE CUTTER DIA 20.5 X 23.95 X 33 X SH25 X 100
,,,BRAZED CARBIDE CUTTER DIA 36.5 X 40.55 X 58 X 105
,,,BRAZED CARBIDE CUTTER DIA16.4 X 17 X 18.6 X 22.5 X 23.3 X 37.7 X 150
,,,BT50 FMH22200
,,,CCGT 060204 FL  K10
,,,CCGW 060204-F BKU203 CBN
,,,CCMT 120408 MT TT7310
,,,CNGN 120412 BKU 203
,,,COMBI BORING BAR DIA 23.3/38.2 WITH 20°CHF X 155 GPL ZF WG HSG
,,,DCMT 11T308 UC 5115
,,,DFPR 060304 PKO
,,,DFPR 070305 PKO
,,,DFPR 080304 PKI
,,,DFPR 110406 PKO
,,,DFPR 140406 PKI
,,,DFPR 140408 PKO
,,,FINISH BORING BAR DIA 127.0 X 120 GPL ZF WG HSG
,,,FINISH BORING BAR DIA 190J7 WTIUH SPL MBU X 160 GPL ZF WG HSG
